City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sao Filipe,CV,78.12,scattered clouds,14.8961,-24.4956,Hotel Xaguate
1,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
2,Bengkulu,ID,80.83,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
3,Hilo,US,75.25,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
4,Chaozhou,CN,89.46,overcast clouds,23.6651,116.6379,Seven Corner View Homestay
5,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
6,Acapulco,MX,76.35,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
7,Faanui,PF,78.6,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
9,Namatanai,PG,82.09,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
11,Changji,CN,81.39,clear sky,44.0167,87.3167,Lvye Holiday Resort
12,Itoman,JP,84.97,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
13,Shache,CN,82.38,scattered clouds,38.4167,77.2406,Delong Hotel
14,Yago,MX,76.39,overcast clouds,21.8333,-105.0667,Casa de Mariela
15,Iracoubo,GF,77.49,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
17,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
18,Chabahar,IR,82.49,broken clouds,25.2919,60.643,هتل گدروشیا
19,Hithadhoo,MV,81.75,broken clouds,-0.6,73.0833,Scoop Guest House
20,Atuona,PF,76.39,light rain,-9.8,-139.0333,Villa Enata
21,Cabo San Lucas,MX,79.52,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
22,Phangnga,TH,86.04,overcast clouds,8.4509,98.5298,Sunimit Mansion
23,Saint George,US,77.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
24,Aswan,EG,81.7,clear sky,24.0934,32.907,Nuba Nile
25,Kapaa,US,79.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
26,Buraydah,SA,86.45,scattered clouds,26.326,43.975,Mövenpick Qassim
27,Korla,CN,83.93,clear sky,41.7597,86.1469,Gulisitan Hotel
28,Port Hedland,AU,87.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
29,Bourail,NC,76.48,clear sky,-21.5667,165.4833,Motel Allamanda
30,Praxedis Guerrero,MX,80.2,clear sky,31.3667,-106.0167,Congregación placitas de Otero
31,Linguere,SN,78.26,overcast clouds,15.3953,-15.1193,AYO Casablanca
32,Almora,IN,79.21,broken clouds,29.6167,79.6667,New Dolma
33,Peoria,US,80.55,clear sky,40.7667,-89.7668,Wildlife Prairie Park
34,Marsh Harbour,BS,83.41,clear sky,26.5412,-77.0636,Abaco Beach Resort
35,Nushki,PK,86.7,clear sky,29.5542,66.0215,Shams hotel
36,Bambous Virieux,MU,76.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
37,Hirara,JP,84.06,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
38,Rio Grande City,US,79.11,broken clouds,26.3798,-98.8203,La Borde House
39,Lampang,TH,87.71,scattered clouds,18.3333,99.5,Mrs Luis Guest House
40,Tiarei,PF,78.82,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
41,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
42,Victoria,HK,89.96,broken clouds,22.2855,114.1577,Mini Central
43,Hobyo,SO,81.41,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
44,Manjeshwar,IN,79.75,overcast clouds,12.7194,74.8861,Mangalore Beach House - EWA Ikigai
45,Cozumel,MX,77.95,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
46,Key West,US,86.0,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
47,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
48,Kalmeshwar,IN,80.22,overcast clouds,21.2333,78.9,Shri Sai Prem Farsan And Daily Needs
49,Kavaratti,IN,80.98,broken clouds,10.5669,72.642,Green leaf
50,Petauke,ZM,76.42,clear sky,-14.2426,31.3253,Kwamwanja Wanthu
51,San Angelo,US,79.41,scattered clouds,31.4638,-100.437,"Motel 6 San Angelo, TX"
52,Jasper,US,80.55,clear sky,37.2001,-94.3502,Guest House Motel
53,Khash,IR,84.47,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
54,Codajas,BR,77.52,broken clouds,-3.8367,-62.0569,ATLÂNTIC HOTEL
55,Yulara,AU,78.62,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
56,Zhangye,CN,76.03,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
57,Singaparna,ID,80.44,overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
58,Isangel,VU,78.22,few clouds,-19.55,169.2667,Tanna Lodge
59,Port Blair,IN,87.84,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
60,Butaritari,KI,81.7,light rain,3.0707,172.7902,Isles Sunset Lodge
61,Shingu,JP,76.6,overcast clouds,33.7333,135.9833,Shingu UI Hotel
62,Likasi,CD,76.28,broken clouds,-10.9814,26.7333,TABERNACLE DE LIKASI
64,Cockburn Town,TC,81.46,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
66,Djibo,BF,75.49,broken clouds,14.1022,-1.6306,Centre Des Ressources DPENA
67,Mae Hong Son,TH,84.34,scattered clouds,19.3003,97.9685,Baiyoke Chalet Hotel
68,Pachino,IT,75.0,few clouds,36.7186,15.0907,Il Veliero
69,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
70,Sarakhs,IR,87.87,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
71,Oistins,BB,84.29,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
72,San Jose De Guanipa,VE,75.0,overcast clouds,8.8872,-64.1651,Hotel Kariña Guanipa
74,Sarangpur,IN,83.82,broken clouds,23.5667,76.4667,Mk manjil
76,Ambon,ID,86.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
78,San Patricio,US,82.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
79,Quatre Cocos,MU,76.08,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
80,Sitio Novo Do Tocantins,BR,76.93,clear sky,-5.5183,-47.4611,Imperial Hotel
81,Lakhisarai,IN,89.4,overcast clouds,25.1768,86.0932,Hotel DRS Deluxe
82,Kavieng,PG,83.61,broken clouds,-2.5744,150.7967,Nusa Island Retreat
83,Ambilobe,MG,84.94,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
