City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Luderitz,NA,-26.6481,15.1594,63.81,33,13,12.24,few clouds
1,Cape Town,ZA,-33.9258,18.4232,60.12,79,0,3.44,clear sky
2,Punta Arenas,CL,-53.15,-70.9167,35.71,87,0,11.5,clear sky
3,Ushuaia,AR,-54.8,-68.3,44.26,61,20,10.36,few clouds
4,Walvis Bay,NA,-22.9575,14.5053,52.75,43,0,1.14,clear sky
5,Port Alfred,ZA,-33.5906,26.891,60.62,68,1,11.81,clear sky
6,Sao Filipe,CV,14.8961,-24.4956,78.12,76,31,8.1,scattered clouds
7,Mahebourg,MU,-20.4081,57.7,76.24,78,75,11.5,broken clouds
8,Touros,BR,-5.1989,-35.4608,73.54,87,31,11.03,scattered clouds
9,Bengkulu,ID,-3.8004,102.2655,80.83,78,67,4.83,light rain
10,Hilo,US,19.7297,-155.09,75.25,89,100,9.22,moderate rain
11,Avarua,CK,-21.2078,-159.775,71.65,88,100,13.8,light rain
12,Chaozhou,CN,23.6651,116.6379,89.46,60,92,6.4,overcast clouds
13,Albany,US,42.6001,-73.9662,59.41,88,46,3.6,scattered clouds
14,Vaini,TO,-21.2,-175.2,75.36,88,75,9.22,broken clouds
15,Hermanus,ZA,-34.4187,19.2345,58.73,64,48,4.72,scattered clouds
16,Nanortalik,GL,60.1432,-45.2371,39.42,90,15,17.69,few clouds
17,Acapulco,MX,16.8634,-99.8901,76.35,88,100,4.25,overcast clouds
18,Balao,EC,-2.9167,-79.8167,69.49,89,70,4.92,broken clouds
19,Hobart,AU,-42.8794,147.3294,65.26,62,75,6.91,broken clouds
20,Zhezkazgan,KZ,47.8043,67.7144,69.78,13,0,11.18,clear sky
21,Faanui,PF,-16.4833,-151.75,78.6,75,64,19.69,broken clouds
22,Nome,US,64.5011,-165.4064,44.67,71,100,11.5,overcast clouds
23,Kaitangata,NZ,-46.2817,169.8464,48.88,80,92,3.62,overcast clouds
24,Rocha,UY,-34.4833,-54.3333,45.07,88,85,4.14,overcast clouds
25,Taoudenni,ML,22.6783,-3.9836,89.15,24,17,7.99,few clouds
26,Namatanai,PG,-3.6667,152.4333,82.09,72,90,4.25,overcast clouds
27,Barrow,US,71.2906,-156.7887,37.42,93,100,5.75,mist
28,Saskylakh,RU,71.9167,114.0833,31.3,69,93,17.31,overcast clouds
29,Thinadhoo,MV,0.5333,72.9333,81.91,70,45,3.4,scattered clouds
30,Tazovskiy,RU,67.4667,78.7,47.03,96,100,14.92,overcast clouds
31,Mataura,NZ,-46.1927,168.8643,46.47,81,79,2.55,broken clouds
32,Changji,CN,44.0167,87.3167,81.39,12,0,6.71,clear sky
