City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pevek,RU,2022-09-19 18:08:39,69.7008,170.3133,32.07,84,100,6.11
1,Sakakah,SA,2022-09-19 18:08:40,29.9697,40.2064,88.47,22,0,11.9
2,Isangel,VU,2022-09-19 18:08:40,-19.55,169.2667,75.74,83,25,9.98
3,Naze,JP,2022-09-19 18:08:41,28.3667,129.4833,76.51,87,53,9.95
4,Vila,PT,2022-09-19 18:08:41,42.0304,-8.1588,68.88,68,45,3.53
5,Pandan,PH,2022-09-19 18:08:41,14.0453,124.1694,81.16,77,99,8.05
6,Port Moresby,PG,2022-09-19 18:08:42,-9.4431,147.1797,75.54,88,66,6.06
7,Pochutla,MX,2022-09-19 18:08:42,15.7432,-96.4661,81.82,72,47,6.51
8,Akdagmadeni,TR,2022-09-19 18:08:43,39.6603,35.8836,58.78,82,5,5.28
9,Provideniya,RU,2022-09-19 18:08:43,64.3833,-173.3,40.91,80,100,3.42
10,Butaritari,KI,2022-09-19 18:08:44,3.0707,172.7902,81.88,67,91,19.13
11,New Norfolk,AU,2022-09-19 18:08:44,-42.7826,147.0587,44.71,84,85,2.73
12,Rikitea,PF,2022-09-19 18:08:45,-23.1203,-134.9692,72.54,77,82,16.49
13,Hermanus,ZA,2022-09-19 18:08:45,-34.4187,19.2345,57.79,81,50,6.24
14,Kevsala,RU,2022-09-19 18:08:45,45.7983,42.6903,65.1,67,100,2.39
15,Cabo San Lucas,MX,2022-09-19 18:08:46,22.8909,-109.9124,85.3,83,75,12.66
16,Kapaa,US,2022-09-19 18:08:46,22.0752,-159.319,80.58,78,40,13.8
17,Talnakh,RU,2022-09-19 18:08:47,69.4865,88.3972,31.21,77,38,18.7
18,Quatre Cocos,MU,2022-09-19 18:08:47,-20.2078,57.7625,71.1,73,11,14.07
19,Puerto Ayora,EC,2022-09-19 18:08:48,-0.7393,-90.3518,76.96,87,81,5.99
20,Taybad,IR,2022-09-19 18:08:48,34.74,60.7756,74.53,22,0,8.08
21,Khatanga,RU,2022-09-19 18:08:49,71.9667,102.5,27.86,88,89,13.38
22,Lebu,CL,2022-09-19 18:08:49,-37.6167,-73.65,50.49,60,6,10.78
23,Puerto Madryn,AR,2022-09-19 18:06:32,-42.7692,-65.0385,38.8,96,100,29.51
24,Hobart,AU,2022-09-19 18:08:50,-42.8794,147.3294,45.05,89,65,5.75
25,Talagang,PK,2022-09-19 18:08:50,32.9297,72.4158,83.84,54,0,5.44
26,Bredasdorp,ZA,2022-09-19 18:08:51,-34.5322,20.0403,51.75,83,56,7.23
27,Panalipan,PH,2022-09-19 18:08:51,10.6483,124.0217,79.86,81,100,5.48
28,Bani,DO,2022-09-19 18:08:51,18.2833,-70.3333,76.44,80,98,3.0
29,Mataura,NZ,2022-09-19 18:08:52,-46.1927,168.8643,46.47,87,90,2.71
30,Qaanaaq,GL,2022-09-19 18:08:52,77.484,-69.3632,26.47,59,90,7.31
31,Ponta Delgada,PT,2022-09-19 18:08:53,37.7333,-25.6667,77.72,73,20,9.22
32,Busselton,AU,2022-09-19 18:08:53,-33.65,115.3333,56.1,78,96,12.57
33,Baherden,TM,2022-09-19 18:08:54,38.4362,57.4316,78.98,23,0,4.21
34,San Cristobal,VE,2022-09-19 18:08:54,7.7669,-72.225,80.78,74,100,1.45
35,Ushuaia,AR,2022-09-19 18:08:54,-54.8,-68.3,46.06,53,0,2.3
36,Albany,US,2022-09-19 18:08:55,42.6001,-73.9662,79.21,75,89,1.01
